*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Breadboard LED Strip v1
*Date=18:28:56
*CreatedBy=Fritzing 0.8.0b.06.12.08d5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;0603 [SMD];9.72936;-9.87012;90;Top;LED38
2;220;0603 [SMD];9.85687;-18.2702;90;Top;R28
3;;0603 [SMD];17.523;-22.4702;90;Top;LED25
4;220;0603 [SMD];20.0169;-18.2702;90;Top;R24
5;;0603 [SMD];4.79459;-35.0912;90;Top;LED20
6;220;0603 [SMD];9.94444;-43.3532;90;Top;R3
7;;;25.0353;-7.28119;0;Bottom;IMG1
8;;;15.0146;-12.2998;0;Bottom;TXT1
9;;;11.5683;-32.6007;0;Bottom;IMG1
10;220;0603 [SMD];7.31687;-18.2702;90;Top;R29
11;;0603 [SMD];14.8497;-9.87012;90;Top;LED36
12;;;25.1689;-32.4667;0;Bottom;IMG1
13;;0603 [SMD];12.4903;-47.5533;90;Top;LED4
14;;;14.9378;-37.451;0;Bottom;TXT1
15;;0603 [SMD];9.86271;-35.07;90;Top;LED18
16;220;0603 [SMD];12.3969;-30.87;90;Top;R17
17;;0603 [SMD];17.6106;-47.5533;90;Top;LED6
18;220;0603 [SMD];9.85687;-30.87;90;Top;R18
19;;0603 [SMD];20.1103;-47.5533;90;Top;LED7
20;220;0603 [SMD];4.81585;-18.2832;90;Top;R30
21;220;0603 [SMD];14.8505;-5.67009;90;Top;R36
22;220;0603 [SMD];12.2635;-5.67009;90;Top;R37
23;220;0603 [SMD];4.81585;-30.883;90;Top;R20
24;;0603 [SMD];22.603;-22.4702;90;Top;LED23
25;220;0603 [SMD];14.9839;-30.87;90;Top;R16
26;;;11.6776;-45.0611;0;Bottom;IMG1
27;220;0603 [SMD];15.0715;-43.3532;90;Top;R5
28;;0603 [SMD];4.79459;-22.4914;90;Top;LED30
29;220;0603 [SMD];7.18352;-5.67009;90;Top;R39
30;;0603 [SMD];22.6906;-47.5533;90;Top;LED8
